date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:20	7501/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:48%20GMT	http://noi.openjudge.cn/ch0105/05/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0105/05/index.html	(from http://noi.openjudge.cn/)
17:13:20	7325/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:49%20GMT	http://noi.openjudge.cn/ch0105/25/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0105/25/index.html	(from http://noi.openjudge.cn/)
17:13:21	7370/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:49%20GMT	http://noi.openjudge.cn/ch0105/08/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0105/08/index.html	(from http://noi.openjudge.cn/)
17:13:21	7794/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:49%20GMT	http://noi.openjudge.cn/ch0106/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0106/index.html	(from http://noi.openjudge.cn/)
17:13:22	7904/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:50%20GMT	http://noi.openjudge.cn/ch0106/07/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0106/07/index.html	(from http://noi.openjudge.cn/)
17:13:22	7300/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:50%20GMT	http://noi.openjudge.cn/ch0106/01/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0106/01/index.html	(from http://noi.openjudge.cn/)
17:13:22	8205/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:51%20GMT	http://noi.openjudge.cn/ch0106/06/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0106/06/index.html	(from http://noi.openjudge.cn/)
17:13:22	7299/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:51%20GMT	http://noi.openjudge.cn/ch0106/08/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0106/08/index.html	(from http://noi.openjudge.cn/)
17:13:23	7968/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:51%20GMT	http://noi.openjudge.cn/ch0106/02/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0106/02/index.html	(from http://noi.openjudge.cn/)
17:13:23	7788/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:14:52%20GMT	http://noi.openjudge.cn/ch0107/22/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0107/22/index.html	(from http://noi.openjudge.cn/)
